BUYER_ZIP,TRANSACTION_DATE,DOSAGE_UNIT,Ingredient_Name
92083,11202007,100.0,OXYCODONE HYDROCHLORIDE
92083,11292007,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,1102008,100.0,OXYCODONE HYDROCHLORIDE
93501,10202006,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,5182007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,7112007,200.0,OXYCODONE HYDROCHLORIDE
93501,8092007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,8132007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,9122007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,11162007,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,5032008,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,10142008,100.0,OXYCODONE HYDROCHLORIDE
93501,4142009,100.0,OXYCODONE HYDROCHLORIDE
93501,5062009,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,6262009,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,7012009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,7282009,2000.0,OXYCODONE HYDROCHLORIDE
93501,9152009,600.0,OXYCODONE HYDROCHLORIDE
93501,12142009,3000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,8172010,400.0,OXYCODONE HYDROCHLORIDE
93501,8272010,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,1142011,3000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,4182011,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,6062011,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,8172011,1200.0,OXYCODONE HYDROCHLORIDE
93501,9142011,6000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,3302012,3000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,5292012,400.0,OXYCODONE HYDROCHLORIDE
93501,5302012,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,6112012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,8272012,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,10082012,6000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,11202012,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93501,11282012,400.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92882,6132012,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92882,9102012,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,6242008,800.0,OXYCODONE HYDROCHLORIDE
90033,7242008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,8132008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,6232009,300.0,OXYCODONE HYDROCHLORIDE
90033,7292009,200.0,OXYCODONE HYDROCHLORIDE
90033,8112009,400.0,OXYCODONE HYDROCHLORIDE
90033,10072009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,11032009,400.0,OXYCODONE HYDROCHLORIDE
90033,11092009,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,11092009,300.0,OXYCODONE HYDROCHLORIDE
90033,12312009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,1252010,200.0,OXYCODONE HYDROCHLORIDE
90033,2192010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,2262010,300.0,OXYCODONE HYDROCHLORIDE
90033,4272010,600.0,OXYCODONE HYDROCHLORIDE
90033,5072010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,6072010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90033,8042010,400.0,OXYCODONE HYDROCHLORIDE
90033,8272010,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90006,12292008,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90006,5272009,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90006,6192009,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90006,10272010,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90006,2232011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,5122006,100.0,OXYCODONE HYDROCHLORIDE
93444,5182006,200.0,OXYCODONE HYDROCHLORIDE
93444,6282006,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,8152006,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,1112007,100.0,OXYCODONE HYDROCHLORIDE
93444,4092007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,9062007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,9102007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,12102007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,3262008,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,6202008,500.0,OXYCODONE HYDROCHLORIDE
93444,10062008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,11122008,200.0,OXYCODONE HYDROCHLORIDE
93444,8202011,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,8252011,1200.0,OXYCODONE HYDROCHLORIDE
93444,9082011,6000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,9232011,200.0,OXYCODONE HYDROCHLORIDE
93444,9242011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93444,10042011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,9282006,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,9292006,500.0,OXYCODONE HYDROCHLORIDE
92024,10092006,300.0,OXYCODONE HYDROCHLORIDE
92024,10182006,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,10212006,700.0,OXYCODONE HYDROCHLORIDE
92024,11022006,600.0,OXYCODONE HYDROCHLORIDE
91324,10012007,1000.0,OXYCODONE HYDROCHLORIDE
91324,9112008,1200.0,OXYCODONE HYDROCHLORIDE
91324,10282009,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,12312009,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,4052010,400.0,OXYCODONE HYDROCHLORIDE
91324,4122010,800.0,OXYCODONE HYDROCHLORIDE
91324,4162010,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,5112010,200.0,OXYCODONE HYDROCHLORIDE
91324,6302010,1500.0,OXYCODONE HYDROCHLORIDE
91324,10252010,1800.0,OXYCODONE HYDROCHLORIDE
91324,12162010,400.0,OXYCODONE HYDROCHLORIDE
91324,5202011,1500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,6172011,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,12052011,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,2222012,1500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91324,4122012,1500.0,OXYCODONE HYDROCHLORIDE
91324,6142012,1200.0,OXYCODONE HYDROCHLORIDE
91324,6142012,1200.0,OXYCODONE HYDROCHLORIDE
91206,11192008,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90804,9062007,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91776,9072006,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91776,4232008,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91776,2222010,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91776,4252011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91776,5252011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91776,8082012,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92069,6242008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92069,4062009,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92069,6192009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92069,8072009,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92069,12212009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
