Zip Code,Tax Returns,AGI thousands
95258,2454,166398
95301,14064,601302
95303,372,19431
95304,4756,382414
95306,383,23886
95307,16883,615639
95310,1144,51817
95311,744,30652
95313,667,27481
95315,4517,149619
95316,2848,152183
95317,364,12424
95320,5345,297572
95321,1605,91585
95322,3444,136084
95323,528,39262
95324,2896,142046
95326,4097,206114
95327,2552,108970
95328,1220,39565
95329,917,49100
95330,7484,356484
95333,1190,48779
95334,6130,196553
95335,131,5278
95336,18163,889691
95337,12827,693533
95338,4581,210796
95340,13775,676036
95341,11674,308815
95345,349,14001
95346,586,27742
95348,11619,431548
95350,20938,891634
95351,15842,445908
95354,9520,380120
95355,23571,1314979
95356,13082,1011182
95357,5387,285693
95358,11756,450130
95360,4504,187901
95361,13109,752533
95363,10690,462756
95365,1879,51060
95366,7079,494589
95367,9487,422164
95368,5613,273470
95369,404,15337
95370,11079,559316
95372,1205,55846
95374,675,24507
95376,20888,1036074
95377,11509,793158
95379,1634,80237
95380,15161,569379
95382,14019,778758
95383,1955,106463
95385,119,7084
95386,3878,169647
95388,5016,145124
95389,870,32459
95391,3771,307441
95401,15641,788844
95403,19376,1182120
95404,17461,1290175
95405,10744,707301
95407,15578,597637
95409,12959,892928
95410,418,19935
95412,104,4040
95415,633,24222
95420,99,6199
95421,584,33323
95422,4353,124682
95423,1318,45963
95425,4801,253869
95427,174,7883
95428,721,23930
95432,166,9956
95436,2650,144266
95437,6158,243148
95439,444,24557
95441,1241,70884
95442,1682,170626
95443,103,4050
95444,692,36607
95445,1326,75895
95446,2324,111485
95448,8737,644607
95449,698,30280
95450,186,11240
95451,4387,200278
95452,889,83909
95453,4509,208680
95454,958,29936
95456,326,17266
95457,1490,60247
95458,928,32135
95459,182,8092
95460,1484,81570
95461,1730,78764
95462,536,22785
95464,885,27224
95465,1104,72666
95466,596,23280
95467,2037,120623
95468,592,20346
95469,764,32667
95470,2632,127645
95472,12532,833207
95476,14915,1125609
95482,12281,569515
95485,986,35529
95490,5275,211596
95492,12793,809849
95494,114,6483
95501,8755,336472
95503,9417,462183
95519,7213,347295
95521,7032,273719
95524,1004,67921
95525,825,37439
95526,173,10677
95527,155,5201
95528,396,16980
95531,7649,330225
95536,1257,57973
95540,5422,251496
95542,918,33705
95543,316,17328
95546,914,28079
95547,557,29925
95548,396,11574
95549,334,21899
95551,579,30821
95552,137,5518
95554,146,4295
95558,150,4879
95560,1065,34230
95562,1131,38657
95564,171,5153
95565,443,15410
95567,897,36001
95570,1147,58995
95573,740,36588
95585,135,2902
95589,423,14353
95602,7624,527422
95603,11779,733160
95605,5095,184741
95606,122,45586
95607,111,9526
95608,26697,1743602
95610,19585,1346729
95612,654,46900
95614,1779,121020
95615,415,19090
95616,15039,1131407
95618,9896,897163
95619,2492,115043
95620,8997,494477
95621,18785,805107
95623,2156,123391
95624,25441,1584112
95626,2608,124024
95627,1484,68485
95628,19752,1396537
95629,393,24053
95630,28622,2462372
95631,2674,156318
95632,11617,567340
95633,1324,68372
95634,1281,64708
95635,475,27828
95636,383,19294
95637,166,9269
95638,953,65773
95640,3152,164857
95641,817,35055
95642,3460,198450
95645,651,26547
95648,21233,1388233
95650,5896,537358
95651,357,23702
95652,186,7109
95655,1647,100201
95658,3008,225591
95659,313,23670
95660,12474,391672
95661,13848,1050733
95662,14711,840395
95663,1301,95951
95664,585,39340
95665,2075,110054
95666,2194,109353
95667,15501,889238
95668,363,26163
95669,1123,66911
