Zip Code,2006-2012 Transactions,2010 Population
91746,1636,30485
92173,1635,29429
92114,1590,65433
93204,1589,15529
95334,1588,15457
91210,1587,328
95973,1550,31957
93203,1547,20938
92603,1536,20184
91024,1533,10917
93656,1513,6313
90604,1499,39407
93609,1478,5640
94515,1448,7050
92004,1446,3881
90065,1414,45527
93622,1364,9581
93921,1362,3281
95445,1343,2093
91605,1342,56343
95113,1312,893
94618,1311,16046
94518,1306,26778
93510,1269,7993
95467,1259,5498
93648,1235,15719
95236,1225,4223
90270,1137,27372
95685,1075,4680
93434,1073,7110
94582,1064,38537
90222,1013,31869
92250,1010,8285
95827,993,20269
96137,975,3297
93640,934,11880
94514,927,1360
92661,925,3744
90014,921,7005
91913,894,40971
95134,833,15268
90302,816,29415
91914,783,15448
93250,739,13522
95131,735,28565
93235,690,4559
94805,669,13648
93730,623,9941
93636,620,11908
90063,592,55758
91906,584,3627
95046,527,6417
95673,512,15455
90089,480,3217
95832,450,11924
95757,445,40222
90032,432,45786
93660,402,4675
95713,399,9495
93646,349,10557
90040,348,12520
95936,342,352
92254,341,12768
93615,291,6042
94303,289,45467
90003,267,66266
92401,240,1932
90305,226,14853
95389,214,1272
94920,188,12474
95415,184,1592
90058,154,3223
93035,143,27732
90021,131,3951
94542,131,12717
90094,130,5464
91377,108,13811
96146,105,1366
95065,104,8113
95012,103,10320
94930,93,8500
94305,83,13862
92624,81,7248
91207,68,10506
93725,64,24979
91935,59,8624
92055,57,15655
95215,57,23224
92003,56,4746
94085,46,21247
96062,46,1105
91330,46,2702
93924,42,6279
91962,41,1646
91008,38,1391
91501,36,20849
93022,36,6106
95319,34,1749
92091,34,1048
93908,32,13043
94552,31,14454
95567,31,1930
92662,31,2756
94027,29,7089
95258,28,4018
90290,26,6368
95465,25,2083
93647,25,11874
94060,24,1554
95709,24,4772
90742,24,831
94028,23,6534
90822,23,117
95310,22,1882
95327,20,9806
95033,19,9372
93920,19,1369
92587,19,16675
92405,19,28873
93265,17,3699
