Zip Code,Size AGI,Adjusted Gross Income,,,,,
90262,"$200,000 or more",,,,,,
90265,"$1 under $25,000",23371,,,,,
90265,"$25,000 under $50,000",41691,,,,,
90265,"$50,000 under $75,000",46860,,,,,
90265,"$75,000 under $100,000",50323,,,,,
90265,"$100,000 under $200,000",169021,,,,,
90265,"$200,000 or more",1462957,,,,,
90266,"$1 under $25,000",39057,,,,,
90266,"$25,000 under $50,000",82911,,,,,
90266,"$50,000 under $75,000",119695,,,,,
90266,"$75,000 under $100,000",127470,,,,,
90266,"$100,000 under $200,000",493273,,,,,
90266,"$200,000 or more",3068615,,,,,
90270,"$1 under $25,000",88554,,,,,
90270,"$25,000 under $50,000",108226,,,,,
90270,"$50,000 under $75,000",48463,,,,,
90270,"$75,000 under $100,000",16524,,,,,
90270,"$100,000 under $200,000",9273,,,,,
90270,"$200,000 or more",,,,,,
90272,"$1 under $25,000",25201,,,,,
90272,"$25,000 under $50,000",44304,,,,,
90272,"$50,000 under $75,000",56550,,,,,
90272,"$75,000 under $100,000",67867,,,,,
90272,"$100,000 under $200,000",264163,,,,,
90272,"$200,000 or more",3222797,,,,,
90274,"$1 under $25,000",28895,,,,,
90274,"$25,000 under $50,000",50780,,,,,
90274,"$50,000 under $75,000",71125,,,,,
90274,"$75,000 under $100,000",83547,,,,,
90274,"$100,000 under $200,000",372439,,,,,
90274,"$200,000 or more",2727537,,,,,
90275,"$1 under $25,000",46684,,,,,
90275,"$25,000 under $50,000",92352,,,,,
90275,"$50,000 under $75,000",134205,,,,,
90275,"$75,000 under $100,000",160502,,,,,
90275,"$100,000 under $200,000",650546,,,,,
90275,"$200,000 or more",1517510,,,,,
90277,"$1 under $25,000",56642,,,,,
90277,"$25,000 under $50,000",130148,,,,,
90277,"$50,000 under $75,000",198082,,,,,
90277,"$75,000 under $100,000",194784,,,,,
90277,"$100,000 under $200,000",526738,,,,,
90277,"$200,000 or more",814532,,,,,
90278,"$1 under $25,000",61015,,,,,
90278,"$25,000 under $50,000",135793,,,,,
90278,"$50,000 under $75,000",175875,,,,,
90278,"$75,000 under $100,000",193392,,,,,
90278,"$100,000 under $200,000",601548,,,,,
90278,"$200,000 or more",490623,,,,,
90280,"$1 under $25,000",284184,,,,,
90280,"$25,000 under $50,000",408784,,,,,
90280,"$50,000 under $75,000",241064,,,,,
90280,"$75,000 under $100,000",117234,,,,,
90280,"$100,000 under $200,000",82908,,,,,
90280,"$200,000 or more",27907,,,,,
90290,"$1 under $25,000",10758,,,,,
90290,"$25,000 under $50,000",17385,,,,,
90290,"$50,000 under $75,000",21978,,,,,
90290,"$75,000 under $100,000",23361,,,,,
90290,"$100,000 under $200,000",73556,,,,,
90290,"$200,000 or more",263564,,,,,
90291,"$1 under $25,000",62940,,,,,
90291,"$25,000 under $50,000",124514,,,,,
90291,"$50,000 under $75,000",128090,,,,,
90291,"$75,000 under $100,000",114815,,,,,
90291,"$100,000 under $200,000",270273,,,,,
90291,"$200,000 or more",524646,,,,,
90292,"$1 under $25,000",35228,,,,,
90292,"$25,000 under $50,000",84664,,,,,
90292,"$50,000 under $75,000",123207,,,,,
90292,"$75,000 under $100,000",134010,,,,,
90292,"$100,000 under $200,000",360950,,,,,
90292,"$200,000 or more",661570,,,,,
90293,"$1 under $25,000",18744,,,,,
90293,"$25,000 under $50,000",52999,,,,,
90293,"$50,000 under $75,000",81158,,,,,
90293,"$75,000 under $100,000",74502,,,,,
90293,"$100,000 under $200,000",180700,,,,,
90293,"$200,000 or more",262733,,,,,
90301,"$1 under $25,000",111099,,,,,
90301,"$25,000 under $50,000",181440,,,,,
90301,"$50,000 under $75,000",100957,,,,,
90301,"$75,000 under $100,000",42386,,,,,
90301,"$100,000 under $200,000",39754,,,,,
90301,"$200,000 or more",9805,,,,,
90302,"$1 under $25,000",86078,,,,,
90302,"$25,000 under $50,000",147439,,,,,
90302,"$50,000 under $75,000",104175,,,,,
90302,"$75,000 under $100,000",49782,,,,,
90302,"$100,000 under $200,000",59429,,,,,
90302,"$200,000 or more",39384,,,,,
90303,"$1 under $25,000",78744,,,,,
90303,"$25,000 under $50,000",117201,,,,,
90303,"$50,000 under $75,000",70430,,,,,
90303,"$75,000 under $100,000",40378,,,,,
90303,"$100,000 under $200,000",36120,,,,,
90303,"$200,000 or more",6374,,,,,
90304,"$1 under $25,000",96012,,,,,
90304,"$25,000 under $50,000",114831,,,,,
90304,"$50,000 under $75,000",48377,,,,,
90304,"$75,000 under $100,000",22298,,,,,
90304,"$100,000 under $200,000",18225,,,,,
90304,"$200,000 or more",,,,,,
90305,"$1 under $25,000",39453,,,,,
90305,"$25,000 under $50,000",75410,,,,,
90305,"$50,000 under $75,000",85410,,,,,
90305,"$75,000 under $100,000",66741,,,,,
90305,"$100,000 under $200,000",100630,,,,,
90305,"$200,000 or more",13736,,,,,
90401,"$1 under $25,000",14477,,,,,
90401,"$25,000 under $50,000",31261,,,,,
90401,"$50,000 under $75,000",37731,,,,,
90401,"$75,000 under $100,000",30718,,,,,
90401,"$100,000 under $200,000",80399,,,,,
90401,"$200,000 or more",540706,,,,,
90402,"$1 under $25,000",14654,,,,,
90402,"$25,000 under $50,000",26742,,,,,
90402,"$50,000 under $75,000",32135,,,,,
90402,"$75,000 under $100,000",32675,,,,,
90402,"$100,000 under $200,000",118488,,,,,
90402,"$200,000 or more",1644541,,,,,
90403,"$1 under $25,000",44338,,,,,
90403,"$25,000 under $50,000",104721,,,,,
90403,"$50,000 under $75,000",133349,,,,,
90403,"$75,000 under $100,000",134543,,,,,
90403,"$100,000 under $200,000",334905,,,,,
90403,"$200,000 or more",751444,,,,,
90404,"$1 under $25,000",49826,,,,,
90404,"$25,000 under $50,000",99732,,,,,
