Zip Code,Size AGI,Returns,Joint Returns,AGI,Unemployment Returns,Unemployment Amount,Taxable Income Returns,Taxable Income Amount
90254,50K under 75K,1772,265,110475,156,1367,1740,79182
90254,75K under 100K,1262,338,109500,107,1007,1247,79415
90254,100K under 200K,2150,1027,299784,218,1883,2141,215679
90254,200K or more,1400,1061,741797,108,986,1398,585183
90255,1 under 25K,17439,2908,249259,2133,15028,6479,33380
90255,25K under 50K,8554,3118,296345,1156,9688,7832,115647
90255,50K under 75K,2285,1299,136916,310,2430,2273,75516
90255,75K under 100K,739,523,62834,102,803,737,38632
90255,100K under 200K,306,240,37309,34,339,304,25293
90255,200K or more,31,24,22213,0,0,31,19034
90260,1 under 25K,6983,1165,94445,738,5903,2949,17261
90260,25K under 50K,4391,1388,157116,527,4922,4109,72285
90260,50K under 75K,1846,830,111824,188,1495,1834,66529
90260,75K under 100K,859,505,73544,103,1013,858,48310
90260,100K under 200K,745,522,95686,85,701,744,67228
90260,200K or more,58,42,28324,0,0,58,23480
90262,1 under 25K,14760,2354,207272,1816,13508,5492,28368
