Zip Code,Tax Returns,AGI thousands
93604,359.00,20259.00
93608,518.00,12892.00
93609,2312.00,94006.00
93610,6274.00,259222.00
93611,18803.00,1194195.00
93612,13720.00,500368.00
93614,4844.00,264622.00
93615,2285.00,51955.00
93616,1061.00,31501.00
93618,10923.00,334170.00
93619,12410.00,1189857.00
93620,3361.00,122580.00
93621,191.00,8434.00
93622,3727.00,146159.00
93625,3050.00,134181.00
93626,653.00,111004.00
93628,108.00,3748.00
93630,6941.00,264416.00
93631,6682.00,379401.00
93635,15177.00,617043.00
93636,4800.00,307944.00
93637,14042.00,587596.00
93638,20023.00,541020.00
93640,5564.00,131604.00
93641,158.00,6884.00
93643,1261.00,59755.00
93644,3937.00,194352.00
93645,152.00,10514.00
93646,3454.00,95916.00
93647,4190.00,102975.00
93648,5963.00,142019.00
93650,1643.00,51140.00
93651,824.00,58888.00
93652,333.00,8934.00
93653,412.00,21338.00
93654,12407.00,454210.00
93656,2233.00,84605.00
93657,13441.00,570005.00
93660,1700.00,49990.00
93662,12198.00,418066.00
93664,380.00,27494.00
93667,939.00,49633.00
93668,428.00,18201.00
93669,110.00,4844.00
93675,1341.00,60733.00
93701,3301.00,63901.00
93702,15060.00,339680.00
93703,10737.00,281409.00
93704,11655.00,596901.00
93705,13160.00,397338.00
93706,12815.00,353560.00
93710,11496.00,467798.00
93711,17323.00,1581040.00
93720,19913.00,1443051.00
93721,1417.00,48517.00
93722,29712.00,1279320.00
93723,3371.00,196497.00
93725,9020.00,280513.00
93726,15162.00,457983.00
93727,25512.00,1014608.00
93728,5925.00,177557.00
93730,4229.00,506519.00
93901,11587.00,635124.00
93905,30220.00,794358.00
93906,23928.00,993220.00
93907,8958.00,529490.00
93908,5858.00,745578.00
93920,707.00,28031.00
93923,4944.00,608349.00
93924,2989.00,278410.00
93925,838.00,35898.00
93926,4293.00,168139.00
93927,7915.00,258743.00
93930,7340.00,258650.00
93933,9691.00,444400.00
93940,13729.00,1086442.00
93950,7691.00,599673.00
93953,2120.00,417377.00
93955,13789.00,567410.00
93960,6932.00,1238311.00
94002,13009.00,1439188.00
94005,2569.00,252404.00
94010,19813.00,4650267.00
94014,21665.00,1035709.00
94015,29381.00,1623561.00
94019,7146.00,753673.00
94020,759.00,72707.00
94021,103.00,7251.00
94022,9201.00,3582033.00
94024,10349.00,2794268.00
94025,18723.00,4098652.00
94027,3169.00,3121369.00
94028,3412.00,1614976.00
94030,10849.00,907015.00
94038,1387.00,120277.00
94040,15376.00,1685677.00
94041,7026.00,821234.00
94043,14361.00,1459534.00
94044,18895.00,1415111.00
94060,813.00,45325.00
94061,16790.00,1340074.00
94062,12581.00,3328418.00
94063,12522.00,557495.00
94065,5722.00,1081525.00
94066,21154.00,1349332.00
94070,14805.00,2036226.00
94074,110.00,7916.00
94080,31377.00,1923437.00
94085,10241.00,723220.00
94086,22506.00,1894454.00
94087,24455.00,2854524.00
94089,9991.00,704000.00
94102,13567.00,682120.00
94103,12854.00,896641.00
94104,1364.00,377027.00
94105,4551.00,1122762.00
94107,15066.00,1837933.00
94108,6549.00,881839.00
94109,30980.00,2676631.00
94110,38013.00,2560914.00
94111,2666.00,1454125.00
94112,38177.00,1764678.00
94114,20931.00,2652889.00
94115,18078.00,3022054.00
94116,22089.00,1659772.00
94117,22353.00,2140947.00
94118,20031.00,2754871.00
94121,21426.00,1827503.00
94122,29766.00,1971891.00
94123,14648.00,2899430.00
94124,15337.00,566258.00
94127,9986.00,1327602.00
94129,1711.00,418701.00
94130,913.00,28955.00
94131,15633.00,1735187.00
94132,12046.00,762668.00
94133,13653.00,1399497.00
94134,19225.00,828753.00
94158,2298.00,261681.00
94301,8351.00,3061058.00
94303,19348.00,2893142.00
94304,1791.00,931676.00
94305,3445.00,673283.00
94306,12799.00,2172698.00
94401,15866.00,984397.00
94402,12324.00,1828617.00
94403,19788.00,2237345.00
94404,16425.00,1810009.00
94501,29908.00,1984932.00
94502,6517.00,686199.00
94503,8360.00,504932.00
94505,5656.00,486141.00
94506,9968.00,2197721.00
94507,7197.00,1737307.00
94508,1279.00,95725.00
94509,26252.00,1180269.00
94510,13397.00,1059091.00
94513,22776.00,1642582.00
94514,551.00,33211.00
94515,3311.00,222932.00
94517,5998.00,608888.00
94518,12553.00,817455.00
94519,8684.00,481257.00
94520,16236.00,632773.00
94521,19494.00,1341746.00
94523,16588.00,1259116.00
94525,1623.00,92005.00
94526,15238.00,2111857.00
94530,12648.00,933842.00
94531,17137.00,1063586.00
94533,29433.00,1351775.00
94534,16404.00,1354027.00
94535,2268.00,80459.00
94536,29975.00,2278214.00
94538,27739.00,1786401.00
94539,21153.00,3098846.00
94541,26677.00,1176625.00
94542,5421.00,436914.00
94544,31755.00,1393762.00
94545,14293.00,755293.00
94546,20695.00,1337503.00
94547,11225.00,788217.00
94549,13160.00,2310417.00
94550,21341.00,2066480.00
94551,18120.00,1270037.00
94552,6611.00,709677.00
94553,22866.00,1572723.00
94555,14069.00,1276349.00
94556,6954.00,1147926.00
94558,30763.00,2144066.00
94559,12532.00,690156.00
94560,19669.00,1176363.00
94561,15251.00,873820.00
94563,8646.00,2053720.00
94564,9268.00,545409.00
94565,36595.00,1591081.00
94566,19255.00,2728331.00
94567,292.00,99518.00
94568,19531.00,1823446.00
94571,4003.00,226455.00
94572,3890.00,201123.00
94574,4086.00,501634.00
94576,112.00,8963.00
94577,21974.00,1217715.00
94578,17317.00,737756.00
94579,9872.00,511157.00
94580,12773.00,635869.00
94582,14682.00,2058159.00
94583,20717.00,3019175.00
94585,12324.00,634570.00
94586,552.00,55305.00
94587,31225.00,2000197.00
94588,14449.00,1649074.00
94589,12994.00,549817.00
94590,15727.00,624255.00
94591,24762.00,1471238.00
94592,322.00,26165.00
94595,9681.00,805484.00
94596,11146.00,2442659.00
94597,11196.00,910388.00
94598,13148.00,1579843.00
94599,1648.00,118756.00
94601,19463.00,626801.00
94602,13675.00,970957.00
94603,13319.00,435005.00
94605,19078.00,965584.00
94606,16573.00,581329.00
94607,10713.00,479895.00
94608,14025.00,739292.00
94609,10995.00,524803.00
94610,16955.00,1395782.00
94611,19662.00,2798444.00
94612,7070.00,346455.00
94618,8513.00,1197371.00
94619,11947.00,823688.00
94621,11589.00,332319.00
94702,8308.00,467418.00
94703,9508.00,526022.00
94704,5254.00,236001.00
94705,7057.00,942453.00
94706,8748.00,637447.00
94707,6738.00,998535.00
94708,5776.00,809323.00
94709,5132.00,321605.00
94710,3513.00,192305.00
94801,11016.00,631787.00
94803,11599.00,682031.00
94804,16913.00,727331.00
94805,6422.00,337365.00
94806,25040.00,1038062.00
94901,18264.00,1763846.00
94903,14072.00,1295448.00
94904,5951.00,1210988.00
94920,5971.00,2025924.00
94922,217.00,14295.00
94923,672.00,50904.00
94924,695.00,38814.00
94925,4428.00,612597.00
94928,18033.00,890177.00
94930,4029.00,319932.00
94931,4342.00,235994.00
94937,488.00,41649.00
94939,3412.00,727671.00
94941,14443.00,2835738.00
94945,8290.00,733525.00
94946,295.00,57817.00
94947,11282.00,882140.00
94949,8183.00,701880.00
94951,2044.00,141704.00
94952,14754.00,1064684.00
94954,17088.00,1087008.00
94956,876.00,61828.00
94960,6953.00,883474.00
94965,7679.00,775048.00
95003,10746.00,975522.00
95004,1820.00,112985.00
95005,2920.00,200447.00
95006,4119.00,327477.00
95008,21859.00,1874396.00
95010,5193.00,304223.00
95012,4836.00,162696.00
95014,24852.00,3724620.00
95017,405.00,38933.00
95018,3639.00,229589.00
95019,3750.00,132247.00
95020,23288.00,1551097.00
95023,19456.00,1105255.00
95030,6266.00,1932065.00
95032,12247.00,2319966.00
95033,4012.00,552488.00
95035,29612.00,2173252.00
95037,19426.00,1778785.00
95039,756.00,34428.00
95043,271.00,14270.00
95045,1866.00,114410.00
95046,3078.00,233333.00
95050,16600.00,1154727.00
95051,25814.00,2112684.00
95054,11882.00,1285407.00
95060,18743.00,1460873.00
95062,16576.00,949481.00
95064,514.00,25771.00
95065,3692.00,285352.00
95066,6546.00,650569.00
95070,14867.00,3746136.00
95073,5417.00,408172.00
95075,294.00,21334.00
95076,35274.00,1478767.00
95110,7977.00,439984.00
95111,23963.00,981344.00
95112,21694.00,1058312.00
95113,994.00,93407.00
