Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
95367,23173,11560,11613,31.2,30.4,32.1
95368,13614,6899,6715,31.1,30,32.1
95369,1099,571,528,37.1,37.5,36.8
95370,26803,13084,13719,47.9,46.4,49.2
95372,1963,996,967,42.4,40.7,44.7
95374,2030,1074,956,32.2,32.1,32.3
95375,106,58,48,58.4,57.5,59
95376,49859,24754,25105,32.3,31,33.6
95377,30902,15340,15562,32.3,31.4,33.1
95379,3898,1913,1985,43.6,42,44.8
95380,41201,20592,20609,31.3,30.2,32.5
95382,36176,17428,18748,34.3,33,35.6
95383,3937,2052,1885,51.3,50.6,52.1
95385,429,240,189,44.1,42,44.7
95386,9877,5026,4851,31.1,30,32.1
95387,636,331,305,29.1,30.1,28.4
95388,13074,6605,6469,27,26.5,27.6
95389,1272,750,522,38.1,41.7,34.6
95391,9959,4953,5006,31.5,31.5,31.6
95401,36981,18394,18587,34,32.5,35.7
95403,45164,22483,22681,36.3,34.2,38.6
95404,39761,19264,20497,40.5,39.1,42.1
95405,21399,10067,11332,42.9,40.1,45.7
95407,39352,20247,19105,30.4,29.9,30.8
95409,27187,12624,14563,49.3,45.9,52.1
95410,950,459,491,54.3,52.4,55.4
95412,401,208,193,44.1,43.8,44.4
95415,1592,854,738,36.2,36.5,35.9
95417,297,154,143,48.6,47.3,49.5
95420,374,176,198,54.9,54.8,55
95421,1592,841,751,51.5,51.6,51.4
95422,15585,7794,7791,40.3,39,41.8
95423,3747,1893,1854,54,52.9,55
95425,10841,5456,5385,41.8,40.4,43.5
95426,2147,1099,1048,50.2,50.5,49.8
95427,459,246,213,50.4,49.3,50.8
95428,2516,1277,1239,37.1,35.9,38
95429,70,39,31,55.5,55.3,57.5
95430,44,18,26,58,56.5,58.5
95431,631,367,264,52.5,52.1,52.9
95432,426,219,207,50.9,51.3,50.2
95435,82,37,45,30.7,31.5,30.3
95436,5418,2769,2649,47.4,46.6,48.3
95437,14799,7396,7403,44.3,42.5,46.3
95439,675,339,336,42.9,41.7,43.6
95441,2014,1100,914,42.1,41.3,43.9
95442,3178,1583,1595,49.8,47.9,50.7
95443,233,123,110,54.7,52.9,56.2
95444,748,355,393,43.7,39.2,46.4
95445,2093,1049,1044,51.8,51.5,52.1
95446,4750,2588,2162,49.1,48.7,49.5
95448,16852,8462,8390,43.5,41.5,45.6
95449,1507,821,686,39.2,38.6,39.7
95450,387,209,178,55.6,56.3,55.2
95451,11213,5602,5611,44.6,43.5,45.5
95452,1393,691,702,54.3,53.5,55
95453,11256,5637,5619,45.4,43.1,47.4
95454,2556,1362,1194,45.4,45.2,45.7
95456,795,356,439,59.3,56.6,60.8
95457,2893,1506,1387,49,47.7,50.8
95458,3104,1557,1547,48.7,48.4,48.9
95459,504,259,245,46.6,44.7,47.5
95460,2285,1098,1187,56.1,55.4,56.9
95461,3413,1774,1639,45.7,46.3,45
95462,1417,753,664,51.6,51.6,51.6
95463,169,88,81,52.8,52.3,53.8
95464,2673,1326,1347,45.6,44.7,46.5
95465,2083,1064,1019,50,49.5,50.7
95466,946,497,449,41.7,41.3,42.4
95467,5498,2709,2789,41.2,41.1,41.4
95468,1258,641,617,46.2,42.3,48.8
95469,1767,918,849,45.8,44.7,46.5
95470,6032,3063,2969,41.6,40.6,42.8
95471,522,279,243,47.6,48.4,47.2
95472,28255,13626,14629,48.8,47.6,49.8
95476,35394,17027,18367,44.9,42.1,47.2
95482,31808,15667,16141,36.9,35.1,38.8
95485,2557,1269,1288,43.7,43.4,43.9
95486,62,25,37,56,58.5,53.8
95488,280,149,131,50.2,51.9,48.2
95490,13264,6620,6644,41.2,39.3,43.4
95492,28532,14084,14448,37.2,35.6,38.6
95493,198,107,91,53.4,54.1,52.8
95494,139,71,68,49.5,49.8,48.5
95497,1305,624,681,63.7,64.3,63.5
95501,23976,12335,11641,35.5,35.1,36.4
